model_name,accuracy,precision,recall,f1,roc_auc
Random Forest,0.9958333333333333,0.9958333333333333,1.0,0.9979123173277662,0.9832635983263598
XGBoost,0.9958333333333333,0.9958333333333333,1.0,0.9979123173277662,0.9707112970711297
Gradient Boosting,0.9916666666666667,0.99581589958159,0.99581589958159,0.99581589958159,0.9665271966527197
Decision Tree,0.9916666666666667,0.99581589958159,0.99581589958159,0.99581589958159,0.497907949790795
Logistic Regression,0.95,1.0,0.9497907949790795,0.9742489270386266,0.9665271966527197
